full_date,date_key,full_date_str,year,quarter,month,month_name,day_of_month,day_of_week,day_name,is_weekend
2026-01-01,20260101,2026-01-01,2026,Q1,1,January,1,3,Thursday,False
2026-01-02,20260102,2026-01-02,2026,Q1,1,January,2,4,Friday,False
2026-01-03,20260103,2026-01-03,2026,Q1,1,January,3,5,Saturday,True
2026-01-04,20260104,2026-01-04,2026,Q1,1,January,4,6,Sunday,True
2026-01-05,20260105,2026-01-05,2026,Q1,1,January,5,0,Monday,False
2026-01-06,20260106,2026-01-06,2026,Q1,1,January,6,1,Tuesday,False
2026-01-07,20260107,2026-01-07,2026,Q1,1,January,7,2,Wednesday,False
2026-01-08,20260108,2026-01-08,2026,Q1,1,January,8,3,Thursday,False
2026-01-09,20260109,2026-01-09,2026,Q1,1,January,9,4,Friday,False
2026-01-10,20260110,2026-01-10,2026,Q1,1,January,10,5,Saturday,True
2026-01-11,20260111,2026-01-11,2026,Q1,1,January,11,6,Sunday,True
2026-01-12,20260112,2026-01-12,2026,Q1,1,January,12,0,Monday,False
2026-01-13,20260113,2026-01-13,2026,Q1,1,January,13,1,Tuesday,False
2026-01-14,20260114,2026-01-14,2026,Q1,1,January,14,2,Wednesday,False
2026-01-15,20260115,2026-01-15,2026,Q1,1,January,15,3,Thursday,False
2026-01-16,20260116,2026-01-16,2026,Q1,1,January,16,4,Friday,False
2026-01-17,20260117,2026-01-17,2026,Q1,1,January,17,5,Saturday,True
2026-01-18,20260118,2026-01-18,2026,Q1,1,January,18,6,Sunday,True
2026-01-19,20260119,2026-01-19,2026,Q1,1,January,19,0,Monday,False
2026-01-20,20260120,2026-01-20,2026,Q1,1,January,20,1,Tuesday,False
2026-01-21,20260121,2026-01-21,2026,Q1,1,January,21,2,Wednesday,False
2026-01-22,20260122,2026-01-22,2026,Q1,1,January,22,3,Thursday,False
2026-01-23,20260123,2026-01-23,2026,Q1,1,January,23,4,Friday,False
2026-01-24,20260124,2026-01-24,2026,Q1,1,January,24,5,Saturday,True
2026-01-25,20260125,2026-01-25,2026,Q1,1,January,25,6,Sunday,True
2026-01-26,20260126,2026-01-26,2026,Q1,1,January,26,0,Monday,False
2026-01-27,20260127,2026-01-27,2026,Q1,1,January,27,1,Tuesday,False
2026-01-28,20260128,2026-01-28,2026,Q1,1,January,28,2,Wednesday,False
2026-01-29,20260129,2026-01-29,2026,Q1,1,January,29,3,Thursday,False
2026-01-30,20260130,2026-01-30,2026,Q1,1,January,30,4,Friday,False
2026-01-31,20260131,2026-01-31,2026,Q1,1,January,31,5,Saturday,True
2026-02-01,20260201,2026-02-01,2026,Q1,2,February,1,6,Sunday,True
2026-02-02,20260202,2026-02-02,2026,Q1,2,February,2,0,Monday,False
2026-02-03,20260203,2026-02-03,2026,Q1,2,February,3,1,Tuesday,False
2026-02-04,20260204,2026-02-04,2026,Q1,2,February,4,2,Wednesday,False
2026-02-05,20260205,2026-02-05,2026,Q1,2,February,5,3,Thursday,False
2026-02-06,20260206,2026-02-06,2026,Q1,2,February,6,4,Friday,False
2026-02-07,20260207,2026-02-07,2026,Q1,2,February,7,5,Saturday,True
2026-02-08,20260208,2026-02-08,2026,Q1,2,February,8,6,Sunday,True
2026-02-09,20260209,2026-02-09,2026,Q1,2,February,9,0,Monday,False
2026-02-10,20260210,2026-02-10,2026,Q1,2,February,10,1,Tuesday,False
2026-02-11,20260211,2026-02-11,2026,Q1,2,February,11,2,Wednesday,False
2026-02-12,20260212,2026-02-12,2026,Q1,2,February,12,3,Thursday,False
2026-02-13,20260213,2026-02-13,2026,Q1,2,February,13,4,Friday,False
2026-02-14,20260214,2026-02-14,2026,Q1,2,February,14,5,Saturday,True
2026-02-15,20260215,2026-02-15,2026,Q1,2,February,15,6,Sunday,True
2026-02-16,20260216,2026-02-16,2026,Q1,2,February,16,0,Monday,False
2026-02-17,20260217,2026-02-17,2026,Q1,2,February,17,1,Tuesday,False
2026-02-18,20260218,2026-02-18,2026,Q1,2,February,18,2,Wednesday,False
2026-02-19,20260219,2026-02-19,2026,Q1,2,February,19,3,Thursday,False
2026-02-20,20260220,2026-02-20,2026,Q1,2,February,20,4,Friday,False
2026-02-21,20260221,2026-02-21,2026,Q1,2,February,21,5,Saturday,True
2026-02-22,20260222,2026-02-22,2026,Q1,2,February,22,6,Sunday,True
2026-02-23,20260223,2026-02-23,2026,Q1,2,February,23,0,Monday,False
2026-02-24,20260224,2026-02-24,2026,Q1,2,February,24,1,Tuesday,False
2026-02-25,20260225,2026-02-25,2026,Q1,2,February,25,2,Wednesday,False
2026-02-26,20260226,2026-02-26,2026,Q1,2,February,26,3,Thursday,False
2026-02-27,20260227,2026-02-27,2026,Q1,2,February,27,4,Friday,False
2026-02-28,20260228,2026-02-28,2026,Q1,2,February,28,5,Saturday,True
2026-03-01,20260301,2026-03-01,2026,Q1,3,March,1,6,Sunday,True
2026-03-02,20260302,2026-03-02,2026,Q1,3,March,2,0,Monday,False
2026-03-03,20260303,2026-03-03,2026,Q1,3,March,3,1,Tuesday,False
2026-03-04,20260304,2026-03-04,2026,Q1,3,March,4,2,Wednesday,False
2026-03-05,20260305,2026-03-05,2026,Q1,3,March,5,3,Thursday,False
2026-03-06,20260306,2026-03-06,2026,Q1,3,March,6,4,Friday,False
2026-03-07,20260307,2026-03-07,2026,Q1,3,March,7,5,Saturday,True
2026-03-08,20260308,2026-03-08,2026,Q1,3,March,8,6,Sunday,True
2026-03-09,20260309,2026-03-09,2026,Q1,3,March,9,0,Monday,False
2026-03-10,20260310,2026-03-10,2026,Q1,3,March,10,1,Tuesday,False
2026-03-11,20260311,2026-03-11,2026,Q1,3,March,11,2,Wednesday,False
2026-03-12,20260312,2026-03-12,2026,Q1,3,March,12,3,Thursday,False
2026-03-13,20260313,2026-03-13,2026,Q1,3,March,13,4,Friday,False
2026-03-14,20260314,2026-03-14,2026,Q1,3,March,14,5,Saturday,True
2026-03-15,20260315,2026-03-15,2026,Q1,3,March,15,6,Sunday,True
2026-03-16,20260316,2026-03-16,2026,Q1,3,March,16,0,Monday,False
2026-03-17,20260317,2026-03-17,2026,Q1,3,March,17,1,Tuesday,False
2026-03-18,20260318,2026-03-18,2026,Q1,3,March,18,2,Wednesday,False
2026-03-19,20260319,2026-03-19,2026,Q1,3,March,19,3,Thursday,False
2026-03-20,20260320,2026-03-20,2026,Q1,3,March,20,4,Friday,False
2026-03-21,20260321,2026-03-21,2026,Q1,3,March,21,5,Saturday,True
2026-03-22,20260322,2026-03-22,2026,Q1,3,March,22,6,Sunday,True
2026-03-23,20260323,2026-03-23,2026,Q1,3,March,23,0,Monday,False
2026-03-24,20260324,2026-03-24,2026,Q1,3,March,24,1,Tuesday,False
2026-03-25,20260325,2026-03-25,2026,Q1,3,March,25,2,Wednesday,False
2026-03-26,20260326,2026-03-26,2026,Q1,3,March,26,3,Thursday,False
2026-03-27,20260327,2026-03-27,2026,Q1,3,March,27,4,Friday,False
2026-03-28,20260328,2026-03-28,2026,Q1,3,March,28,5,Saturday,True
2026-03-29,20260329,2026-03-29,2026,Q1,3,March,29,6,Sunday,True
2026-03-30,20260330,2026-03-30,2026,Q1,3,March,30,0,Monday,False
