time_slot_key,slot_start_time,slot_end_time,slot_label,shift_period
0,00:00,00:30,00:00 - 00:30,NIGHT
1,00:30,01:00,00:30 - 01:00,NIGHT
2,01:00,01:30,01:00 - 01:30,NIGHT
3,01:30,02:00,01:30 - 02:00,NIGHT
4,02:00,02:30,02:00 - 02:30,NIGHT
5,02:30,03:00,02:30 - 03:00,NIGHT
6,03:00,03:30,03:00 - 03:30,NIGHT
7,03:30,04:00,03:30 - 04:00,NIGHT
8,04:00,04:30,04:00 - 04:30,NIGHT
9,04:30,05:00,04:30 - 05:00,NIGHT
10,05:00,05:30,05:00 - 05:30,NIGHT
11,05:30,06:00,05:30 - 06:00,NIGHT
12,06:00,06:30,06:00 - 06:30,NIGHT
13,06:30,07:00,06:30 - 07:00,NIGHT
14,07:00,07:30,07:00 - 07:30,MORNING
15,07:30,08:00,07:30 - 08:00,MORNING
16,08:00,08:30,08:00 - 08:30,MORNING
17,08:30,09:00,08:30 - 09:00,MORNING
18,09:00,09:30,09:00 - 09:30,MORNING
19,09:30,10:00,09:30 - 10:00,MORNING
20,10:00,10:30,10:00 - 10:30,MORNING
21,10:30,11:00,10:30 - 11:00,MORNING
22,11:00,11:30,11:00 - 11:30,MORNING
23,11:30,12:00,11:30 - 12:00,MORNING
24,12:00,12:30,12:00 - 12:30,AFTERNOON
25,12:30,13:00,12:30 - 13:00,AFTERNOON
26,13:00,13:30,13:00 - 13:30,AFTERNOON
27,13:30,14:00,13:30 - 14:00,AFTERNOON
28,14:00,14:30,14:00 - 14:30,AFTERNOON
29,14:30,15:00,14:30 - 15:00,AFTERNOON
30,15:00,15:30,15:00 - 15:30,AFTERNOON
31,15:30,16:00,15:30 - 16:00,AFTERNOON
32,16:00,16:30,16:00 - 16:30,AFTERNOON
33,16:30,17:00,16:30 - 17:00,AFTERNOON
34,17:00,17:30,17:00 - 17:30,EVENING
35,17:30,18:00,17:30 - 18:00,EVENING
36,18:00,18:30,18:00 - 18:30,EVENING
37,18:30,19:00,18:30 - 19:00,EVENING
38,19:00,19:30,19:00 - 19:30,EVENING
39,19:30,20:00,19:30 - 20:00,EVENING
40,20:00,20:30,20:00 - 20:30,EVENING
41,20:30,21:00,20:30 - 21:00,EVENING
42,21:00,21:30,21:00 - 21:30,EVENING
43,21:30,22:00,21:30 - 22:00,EVENING
44,22:00,22:30,22:00 - 22:30,NIGHT
45,22:30,23:00,22:30 - 23:00,NIGHT
46,23:00,23:30,23:00 - 23:30,NIGHT
47,23:30,24:00,23:30 - 24:00,NIGHT
