event_hour,tasks,median_wait,p80_wait,sla_breach_rate
13.0,1,42.90465,42.90465,1.0
3.0,1,26.537883333333333,26.537883333333333,0.0
11.0,1,19.659049999999997,19.659049999999997,0.0
19.0,2,17.511183333333335,17.778413333333333,0.0
21.0,1,17.685333333333332,17.685333333333332,0.0
12.0,3,8.843266666666667,16.32551666666667,0.0
23.0,1,14.01375,14.01375,0.0
18.0,1,14.00075,14.00075,0.0
0.0,1,13.4255,13.4255,0.0
1.0,2,7.566933333333333,9.825203333333333,0.0
9.0,8,2.2689416666666666,9.166053333333338,0.0
22.0,1,8.168849999999999,8.168849999999999,0.0
7.0,1,7.759083333333334,7.759083333333334,0.0
20.0,1,7.361816666666667,7.361816666666667,0.0
17.0,4,0.8762416666666666,6.225123333333338,0.0
10.0,2,0.999325,1.32238,0.0
16.0,1,0.8085166666666667,0.8085166666666667,0.0
,104,,,0.0
